feedback_id,patient_id,country,device,timestamp,issue_type,resolved,source,comments,user_rating,tags
1,1,France,Tablet,2025-05-08T07:08,video,True,chatbot,Screenreader skips sections,,
2,2,Germany,Desktop,2025-02-07T07:32,audio,True,chatbot,Color contrast poor,,
3,3,San Marino,Mobile,2025-04-15T18:17,none,True,website_form,Audio captions missing,,
4,4,Serbia,Desktop,2025-06-28T11:38,navigation,True,call_center,Screenreader skips sections,1.6,"urgent,resolved"
5,5,Serbia,Desktop,2025-09-10T20:39,none,False,chatbot,Color contrast poor,,
6,6,Germany,Tablet,2025-04-25T09:05,none,True,in-app_survey,Audio captions missing,,
7,7,Romania,Desktop,2025-11-09T22:59,video,True,chatbot,No issues,3.5,"minor,feature-request"
8,8,Austria,Desktop,2025-08-13T08:59,video,True,support_email,Hard to read buttons,,
9,9,Spain,Desktop,2025-10-23T10:13,video,False,call_center,All accessible,1.1,"bug-report,feature-request"
10,10,Lithuania,Tablet,2025-07-12T07:08,audio,False,in-app_survey,Hard to read buttons,1.6,"satisfied,resolved,feature-request"
11,11,Norway,Tablet,2025-03-26T21:27,audio,True,call_center,Audio captions missing,,
12,12,Estonia,Tablet,2025-05-18T00:43,video,True,chatbot,Font size adjustable,,
13,13,Turkey,Desktop,2025-05-14T05:29,contrast,False,chatbot,No issues,,
14,14,Netherlands,Tablet,2025-05-27T20:32,audio,True,website_form,Navigation confusing,,
15,15,San Marino,Tablet,2025-01-20T10:31,contrast,True,support_email,Font size adjustable,,
16,16,Spain,Tablet,2025-03-05T21:30,audio,True,support_email,Audio captions missing,2.0,"urgent,resolved,bug-report"
17,17,San Marino,Tablet,2025-12-07T22:19,labels,False,call_center,All accessible,,
18,18,Malta,Desktop,2025-10-08T00:04,video,True,website_form,Screenreader skips sections,1.9,"urgent,satisfied"
19,19,Turkey,Desktop,2025-09-08T08:42,labels,True,chatbot,No issues,,
20,20,Luxembourg,Desktop,2025-08-26T13:12,contrast,True,call_center,Navigation confusing,,
21,21,Estonia,Tablet,2025-01-22T20:41,contrast,True,call_center,Navigation confusing,,
22,22,Netherlands,Desktop,2025-04-07T17:28,font_size,False,website_form,Font size adjustable,,
23,23,Spain,Mobile,2025-09-04T01:41,audio,True,in-app_survey,Color contrast poor,,
24,24,Croatia,Desktop,2025-03-13T00:24,navigation,False,support_email,Audio captions missing,2.9,resolved
25,25,Malta,Tablet,2025-12-16T04:12,navigation,True,in-app_survey,Hard to read buttons,,
26,26,Italy,Desktop,2025-10-16T16:58,none,True,in-app_survey,Screenreader skips sections,,
27,27,Spain,Tablet,2025-02-22T07:25,contrast,True,chatbot,Hard to read buttons,,
28,28,Slovenia,Tablet,2025-10-19T16:20,navigation,True,support_email,Color contrast poor,,
29,29,Spain,Desktop,2025-08-20T18:06,contrast,True,chatbot,Font size adjustable,1.5,"feature-request,bug-report,resolved"
30,30,Bulgaria,Mobile,2025-03-15T17:45,navigation,True,chatbot,Font size adjustable,2.4,minor
31,31,Netherlands,Desktop,2025-05-04T03:47,audio,True,support_email,Font size adjustable,,
32,32,Turkey,Desktop,2025-11-21T08:32,labels,False,in-app_survey,Screenreader skips sections,,
33,33,Czech Republic,Desktop,2025-01-11T04:40,navigation,True,call_center,Audio captions missing,,
34,34,Belgium,Desktop,2025-12-05T17:02,none,False,chatbot,No issues,,
35,35,Germany,Mobile,2025-06-26T01:57,navigation,True,website_form,Screenreader skips sections,,
36,36,Norway,Desktop,2025-03-26T05:56,labels,True,website_form,Navigation confusing,3.2,"satisfied,frustrated"
37,37,Slovenia,Tablet,2025-12-26T07:17,font_size,True,call_center,Hard to read buttons,,
38,38,Switzerland,Desktop,2025-08-12T09:52,none,True,website_form,Hard to read buttons,,
39,39,Croatia,Mobile,2025-05-28T02:49,navigation,False,chatbot,Audio captions missing,,
40,40,San Marino,Mobile,2025-01-04T08:11,audio,False,in-app_survey,Screenreader skips sections,,
41,41,Romania,Tablet,2025-06-14T19:32,contrast,False,chatbot,Color contrast poor,,
42,42,San Marino,Tablet,2025-12-24T23:42,font_size,False,call_center,Screenreader skips sections,3.8,satisfied
43,43,Turkey,Tablet,2025-06-22T03:46,navigation,False,call_center,Navigation confusing,,
44,44,Slovakia,Tablet,2025-03-07T13:42,labels,True,chatbot,Font size adjustable,,
45,45,UK,Mobile,2025-05-07T13:50,audio,False,call_center,All accessible,,
46,46,Ireland,Tablet,2025-08-26T23:10,video,True,support_email,Navigation confusing,,
47,47,Hungary,Desktop,2025-04-05T00:02,font_size,False,chatbot,Screenreader skips sections,4.8,frustrated
